Date, Open, High, Low, Close, Volume
7/12/2024,512.49,518.03,512.17,514.55,5238170
7/11/2024,516,516.79,510.825,511.39,5546308
7/10/2024,511.98,516.185,511.69,515.81,3446923
7/9/2024,511.21,512.01,510.54,510.89,3145823
7/8/2024,510.5,511.205,509.32,510.33,3143379
7/5/2024,507.13,510.1,506.49,509.84,3156922
7/3/2024,504.22,507.14,504.22,506.81,2131086
7/2/2024,499.69,504.61,499.61,504.53,4210083
7/1/2024,501.49,501.6799,498.6,501.28,4368526
6/28/2024,502.97,505.73,499.01,500.13,5598571
6/27/2024,503,504.48,502.32,503.85,3619655
6/26/2024,501.47,503.77,500.89,503.07,3202700
6/25/2024,501.71,502.83,500.32,502.51,6336724
6/24/2024,502.03,504.4395,500.43,500.43,7022844
6/21/2024,502.1,503.2157,500.85,501.78,4347838
6/20/2024,505.14,505.74,501.19,502.88,4810867
6/18/2024,503.05,504.3552,502.63,504.28,3431665
6/17/2024,498.48,504.18,497.91,502.94,4609539
6/14/2024,497.26,499.04,496.29,498.98,5812046
6/13/2024,499.3,499.45,496.06,498.58,8808879
6/12/2024,497.93,500.15,496.71,497.64,3698787
6/11/2024,490.99,493.66,489.109,493.53,4028423
6/10/2024,490.17,492.69,489.56,492.41,3465222
6/7/2024,490.55,493.53,489.54,490.8,3063587
6/6/2024,491.84,492.18,489.6401,491.44,21343961
6/5/2024,487.87,491.55,486.06,491.55,3026146
6/4/2024,484,486.41,482.56,485.74,2560269
6/3/2024,486.3,486.41,480.4,485.15,4211256
5/31/2024,481.24,484.91,476.475,484.62,5333971
5/30/2024,482.12,482.7504,479.2,480.44,3393589
5/29/2024,483.19,484.68,482.96,483.69,5604961
5/28/2024,487.4,487.645,484.525,487.12,4034716
5/24/2024,485.18,487.4,484.33,486.73,2555241
5/23/2024,489.91,489.99,482.29,483.44,3811307
5/22/2024,487.79,488.43,484.94,487.06,3250581
5/21/2024,486.53,488.58,486.35,488.48,2453576
5/20/2024,486.78,488.6099,486.45,487.17,2599585
5/17/2024,486.09,486.73,484.7,486.69,3274035
5/16/2024,487.05,488.57,485.83,485.97,3347381
5/15/2024,483.34,487.23,482.735,486.9,4399485
5/14/2024,478.98,481.47,478.48,481.04,3257724
5/13/2024,480.35,480.42,477.73,478.77,3108442
5/10/2024,479.69,480.39,477.59,478.74,3347159
5/9/2024,475.59,478.15,474.94,478.15,3486049
5/8/2024,473.59,475.86,473.5,475.42,3214878
5/7/2024,475.7,476.64,474.71,475.4,3451302
5/6/2024,472.22,474.81,471.82,474.72,4782542
5/3/2024,469.76,471,467.4401,469.98,4586859
5/2/2024,463.36,464.95,459.16,464.22,3972424
5/1/2024,460.77,467.07,459.44,459.93,6115377
4/30/2024,467.42,468.34,461.36,461.43,4364836
4/29/2024,468.84,469.42,466.21,468.84,3253205
4/26/2024,465.33,468.63,464.81,467.21,4907113
4/25/2024,458.77,463.46,457.26,462.58,4876228
4/24/2024,465.57,466.31,462.44,464.5,7687837
4/23/2024,461.18,465.13,460.67,464.84,4257400
4/22/2024,457.55,461.7299,455.35,459.05,5818088
4/19/2024,458.99,459.94,453.9,455.1,9787454
4/18/2024,461.36,463.3,458.21,458.94,5637286
4/17/2024,465.11,465.24,458.73,459.99,7156229
4/16/2024,464.05,465.51,461.59,462.78,6761419
4/15/2024,473.47,473.59,462.85,463.61,9530044
4/12/2024,472.77,474.05,467.91,469.57,6959723
4/11/2024,473.98,477.43,470.67,476.06,5109901
4/10/2024,471.91,474.39,470.67,472.65,6933388
4/9/2024,478.38,478.6,472.74,477.27,5254191
4/8/2024,477.15,478.07,475.97,476.68,4736778
4/5/2024,472.85,478.33,472.42,476.49,5588160
4/4/2024,481.2,481.48,471.27,471.48,6871190
4/3/2024,475.84,478.802,475.79,477.36,6224812
4/2/2024,476.33,476.99,474.71,476.93,4817822
4/1/2024,481.44,481.96,478.83,480.07,5733960
3/28/2024,480.87,482.1598,480.5034,480.7,4065018
3/27/2024,479.51,480.87,477.45,480.76,4951429
3/26/2024,479.06,479.37,476.43,476.6,8073502
3/25/2024,477.73,478.79,477.55,477.94,6081277
3/22/2024,479.87,480.32,478.82,479.18,5881503
3/21/2024,482.62,483.235,481.21,481.35,5044680
3/20/2024,475.54,480.02,474.93,479.75,6179356
3/19/2024,472.2,475.74,471.29,475.6,4550248
3/18/2024,473.95,475.279,472.5,472.95,3939105
3/15/2024,470.41,471.7814,468.7201,470.01,6807087
3/14/2024,475.16,475.325,470.45,473.27,5152980
3/13/2024,475.31,475.47,472.9,474.31,3544526
3/12/2024,471.92,475.55,469.57,475.03,4811036
3/11/2024,469.2,470.455,467.39,470,5323866
3/8/2024,473.77,476.2994,469.82,470.39,6285625
3/7/2024,471.63,474.19,470.78,473.26,7149802
3/6/2024,469.25,470.66,467.3199,468.62,5325050
3/5/2024,468.95,469.38,464.06,466.15,4616503
3/4/2024,470.61,472.6,470.6,470.87,3970242
3/1/2024,467.83,471.77,467.43,471.43,4839421
2/29/2024,466.97,468.49,464.47,466.93,7332921
2/28/2024,464.49,465.83,464.11,465.21,2800602
2/27/2024,465.71,466.12,463.91,465.93,3586943
2/26/2024,467.19,467.59,464.94,465.07,3450804
2/23/2024,468.09,468.87,466.0907,466.78,4050621
2/22/2024,463.22,467.33,462.315,466.57,4328536
2/21/2024,455.32,457.12,453.6,456.97,4223078
2/20/2024,457.44,458.06,454.43,456.51,5306784
2/16/2024,461.08,462.15,458.4,459.03,5527893
2/15/2024,458.9,461.54,458.43,461.39,5695711
2/14/2024,456.575,458.67,454.4,458.29,5624009
2/13/2024,454.48,455.7,450.995,453.97,8152242
2/12/2024,460.61,462.74,459.75,460.46,4564233
2/9/2024,458.54,461.03,458.17,460.67,4002594
2/8/2024,457.81,458.33,457.03,458.07,4184592
2/7/2024,456.15,458.18,455.27,457.76,6763415
2/6/2024,453.58,454.29,452.21,454.03,4383601
2/5/2024,453.73,454.15,450.54,452.62,7101857
2/2/2024,450.01,455.88,449.69,454.28,6253482
2/1/2024,445.35,449.66,444.6502,449.66,6138360
1/31/2024,449.04,449.465,443.75,443.82,7108043
1/30/2024,450.84,451.81,450.44,451.17,3409953
1/29/2024,448.23,451.6098,447.7112,451.49,4543252
1/26/2024,448.1,449.51,447.16,448.23,6404023
1/25/2024,448.14,448.76,446.11,448.5,4167055
1/24/2024,448.32,449.1896,445.75,445.99,4568204
1/23/2024,444.83,445.82,443.78,445.62,3251586
1/22/2024,444.77,445.92,443.68,444.3,5870412
1/19/2024,439,443.61,438.31,443.29,4836802
1/18/2024,435.58,438.39,434.16,437.93,4331285
1/17/2024,433.6,434.48,431.81,434.07,6044611
1/16/2024,436.79,437.98,434.74,436.5,5730839
1/12/2024,439.11,439.8,436.73,437.99,5182669
1/11/2024,438.94,439.355,434,437.79,4796587
1/10/2024,435.77,438.735,435.48,437.94,4278841
1/9/2024,433.62,436.43,433.1633,435.07,7939567
1/8/2024,430.45,436.27,430.37,436.13,7222362
1/5/2024,429.59,432.3,428.64,429.98,5724608
1/4/2024,430.33,432.78,429.21,429.43,3945259
1/3/2024,432.32,433,430.25,430.79,4805049
1/2/2024,433.91,435.27,432.36,434.01,9076041
12/29/2023,437.87,438.34,434.94,436.8,4376885
12/28/2023,438.25,438.84,437.66,437.97,4703655
12/27/2023,436.895,438.02,436.42,437.9,4271009
12/26/2023,435.666,437.92,435.58,437.1,3835837
12/22/2023,435.46,436.838,433.48,435.29,4037829
12/21/2023,433.13,434.64,430.8552,434.28,4621606
12/20/2023,435.51,437.305,429.9,430.09,5783234
12/19/2023,436.04,438.22,435.95,438.19,4061508
12/18/2023,434.64,436.4,434.45,435.54,4280475
12/15/2023,433.19,434.25,432.24,433.09,5326041
12/14/2023,434.22,435.3642,431.24,433.75,8349143
12/13/2023,426.88,432.61,426.51,432.48,8659116
12/12/2023,424.22,426.67,423.2739,426.67,5982557
12/11/2023,422.41,424.71,422.22,424.56,5247086
12/8/2023,420.37,423.37,420.15,422.92,5125278
12/7/2023,419.81,421.67,419.28,421.13,3248251
12/6/2023,421.61,421.67,417.46,417.86,4201801
12/5/2023,418.34,420.47,418,419.61,3419283
12/4/2023,418.65,419.87,417.5,419.74,5806079
12/1/2023,418.83,422.37,418.25,421.86,4973625
11/30/2023,418.54,419.7,416.57,419.4,4405690
11/29/2023,420.059,421.12,417.365,417.78,4092618
11/28/2023,417.25,419.25,416.71,418.05,3382442
11/27/2023,417.79,418.5273,417.23,417.64,3632552
11/24/2023,418.19,418.49,417.84,418.37,1351272
11/22/2023,418.07,419.31,417.06,418.14,3694064
11/21/2023,416.4,416.84,415.3,416.34,5248187
11/20/2023,413.99,418.2,413.9799,417.43,3524412
11/17/2023,413.94,414.79,412.87,414.31,4700139
11/16/2023,412.74,413.95,411.75,413.7,3798889
11/15/2023,413.54,414.72,412.37,413.12,4414807
11/14/2023,410.04,413.51,409.8856,412.22,6973115
11/13/2023,403.59,405.49,402.82,404.45,2872941
11/10/2023,400.59,405.109,399.14,404.86,3994439
11/9/2023,402.81,402.88,398.21,398.64,4145615
11/8/2023,401.99,402.5026,399.56,401.67,3731858
11/7/2023,400.26,402.04,399.23,401.34,3358578
11/6/2023,400.12,400.733,398.46,400.21,4007105
11/3/2023,397.92,400.85,397.84,399.44,5981435
11/2/2023,391.93,395.9096,391.92,395.78,4752164
11/1/2023,385.09,389.08,384.62,388.4,5549159
10/31/2023,382.35,384.48,380.56,384.17,4523160
10/30/2023,379.91,382.8,378.71,381.86,5795761
10/27/2023,380.53,380.89,375.945,377.32,5638752
10/26/2023,382.63,383.3971,378.15,379,6959401
10/25/2023,387.6,387.68,383.12,383.71,5471214
10/24/2023,388.28,390.26,386.55,389.2,4451513
10/23/2023,385.48,389.94,383.85,386.31,5537131
10/20/2023,391.38,391.82,386.84,386.99,7549614
10/19/2023,395.97,397.6,391.135,391.87,6708903
